Senior Citizen,Partner,Dependents,Tenure Months,Phone Service,Paperless Billing,Monthly Charges,Total Charges,Churn Value,Churn Score,CLTV,Gender_Male,Multiple Lines_No phone service,Multiple Lines_Yes,Internet Service_Fiber optic,Internet Service_No,Online Security_No internet service,Online Security_Yes,Online Backup_No internet service,Online Backup_Yes,Device Protection_No internet service,Device Protection_Yes,Tech Support_No internet service,Tech Support_Yes,Streaming TV_No internet service,Streaming TV_Yes,Streaming Movies_No internet service,Streaming Movies_Yes,Contract_One year,Contract_Two year,Payment Method_Credit card (automatic),Payment Method_Electronic check,Payment Method_Mailed check
0,0,0,1,1,1,45,45,1,73,2600,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,0,1,7,1,0,95,655,1,94,2786,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
0,1,1,20,1,0,82,1592,1,86,5719,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,0,1,4,1,1,70,273,1,75,4287,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0,58,0,1,45,2651,1,100,5444,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0
0,1,1,2,1,1,104,242,1,83,4690,0,0,1,1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,1,0
0,1,0,53,1,1,94,5000,1,80,4328,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0
1,0,1,15,1,1,74,1145,1,99,5717,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0,1,7,1,0,76,503,1,81,4419,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1,0,0,29,29,1,95,4534,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1,8,1,0,84,662,1,86,2152,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0,0,1,13,1,1,79,1111,1,73,5142,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0
0,1,0,1,0,1,24,24,1,94,4851,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,1,1,6,1,1,91,531,1,94,2283,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0
0,0,1,1,1,0,79,79,1,98,3394,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
0,0,1,19,1,1,106,1934,1,71,3764,0,0,0,1,0,0,1,0,0,0,1,0,1,0,1,0,1,0,0,0,1,0
0,0,0,2,1,1,46,84,1,76,2667,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,0,1,4,1,1,70,268,1,67,2227,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,1,0,4,1,0,50,179,1,82,3394,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
0,1,0,1,1,0,55,55,1,81,3638,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
0,0,1,1,1,1,84,84,1,66,2484,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
0,0,0,2,1,1,54,114,1,81,2556,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0,1,11,1,1,95,1120,1,85,5980,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0
1,0,0,15,1,1,74,1074,1,86,4616,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
0,0,0,1,1,1,48,48,1,77,5687,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,1,0,2,1,0,70,147,1,75,5687,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1,1,0,1,0,0,40,40,1,65,5828,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
0,1,0,2,1,1,44,80,1,99,4884,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1,0,0,3,0,1,41,132,1,96,2314,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0
1,0,0,13,1,1,106,1364,1,84,2494,1,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0
0,0,0,59,1,0,19,1099,1,83,5084,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,1
1,0,0,16,1,1,94,1511,1,81,3810,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0
0,0,0,1,0,0,24,24,1,73,5087,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1,1,0,70,70,1,69,3338,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,1,0,5,1,1,85,401,1,80,3676,1,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0
0,1,0,52,1,1,105,5624,1,65,4839,0,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0
0,1,0,18,1,0,95,1779,1,68,4643,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1
0,1,0,1,1,0,70,70,1,97,4094,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1,0,0,8,1,1,74,606,1,80,4345,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
0,0,0,10,1,1,44,435,1,83,4061,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1,0,0,24,1,1,76,1712,1,98,2018,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,0,0,1,1,1,73,73,1,80,2565,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0,0,4,1,1,95,396,1,85,3677,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0
1,1,0,32,1,1,74,2303,1,69,4105,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,0,0,5,1,1,80,415,1,69,5715,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
0,1,0,38,1,0,80,3058,1,81,2071,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,1,1,0,1,0,0
1,1,0,24,1,1,93,2231,1,73,2212,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0
1,0,0,54,1,0,82,4350,1,83,4149,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,1,1,0,0,0,0
1,0,0,2,1,1,70,139,1,73,2671,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,0,0,7,1,1,73,511,1,67,2473,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,0,0,2,1,0,80,155,1,92,2683,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
0,1,0,68,1,1,75,5293,1,81,4903,1,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,1,1,0,0,0,0
0,0,0,43,1,1,104,4759,1,91,5250,0,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,1,0,1,0
0,1,0,63,1,1,103,6603,1,98,4352,1,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0
0,0,0,2,1,1,90,168,1,76,4157,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0
0,1,0,4,1,1,84,371,1,73,4939,1,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
1,0,0,21,0,1,41,840,1,97,4778,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
0,0,0,10,1,1,80,846,1,85,3598,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1,1,0,27,0,0,30,805,1,91,2927,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,0,0,5,1,0,96,492,1,98,5383,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0
0,0,0,2,1,1,85,181,1,73,3878,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
0,1,0,25,1,1,104,2566,1,66,3642,0,0,1,1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0
0,0,0,1,1,0,50,50,1,76,2431,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,1,1,1,90,90,1,81,3424,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
1,1,0,11,1,0,19,214,1,80,5888,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,1
1,1,0,55,1,1,85,4874,1,100,5502,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0
0,0,0,34,1,1,73,2524,1,94,5795,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
0,1,0,69,1,1,99,7007,1,80,4020,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0
0,0,0,1,1,1,19,19,1,92,3351,0,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,1
0,0,0,1,1,1,19,19,1,95,3448,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,1
1,0,0,3,1,1,81,233,1,73,2818,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
0,1,0,22,1,0,83,1845,1,88,3804,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
1,0,0,1,1,1,75,75,1,67,4902,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0,1,0,61,1,1,19,1182,1,82,4221,0,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,1
0,0,0,12,1,1,45,518,1,68,2887,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,60,1,1,105,6396,1,84,4105,0,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0
0,0,0,1,1,0,69,69,1,73,2792,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,1,0,28,1,1,81,2227,1,98,5201,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
0,1,0,4,1,0,101,385,1,84,4417,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0
0,0,0,7,1,1,99,673,1,98,2031,1,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0
0,1,0,13,1,0,55,734,1,91,4498,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
0,0,0,1,1,1,55,55,1,71,4877,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
0,1,0,1,1,1,74,74,1,80,5980,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
0,0,0,24,1,1,80,1861,1,77,4418,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
0,0,0,5,1,1,96,453,1,66,4192,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0
0,0,0,15,1,0,69,994,1,73,5671,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,48,0,1,45,2145,1,65,4926,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
0,1,0,8,1,1,83,680,1,65,2879,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
0,0,0,1,1,1,74,74,1,93,2814,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,1,0,2,1,1,74,139,1,77,4263,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,0,0,22,0,1,43,903,1,66,3099,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0
1,0,0,5,0,0,28,131,1,89,4099,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
0,0,0,12,1,1,99,1238,1,76,2538,0,0,1,1,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0
1,0,0,20,1,1,94,1782,1,87,2666,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0
0,1,0,2,1,1,94,167,1,72,3715,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0
0,1,0,6,1,1,80,502,1,98,5032,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
1,1,0,5,1,1,74,334,1,82,5273,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,0,0,40,1,0,104,4131,1,88,3492,1,0,1,1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0
1,1,0,27,1,1,75,1929,1,99,4517,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,23,1,0,75,1758,1,81,2115,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,34,1,1,100,3480,1,72,2568,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0
0,0,0,1,1,1,85,85,1,80,5679,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
0,0,0,10,1,1,86,834,1,85,2966,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0,0,0,13,0,1,45,597,1,74,4856,1,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0
0,1,0,39,1,1,86,3266,1,98,3364,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1
0,0,0,32,1,1,80,2596,1,92,5974,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,35,1,1,100,3527,1,72,2744,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0
0,1,0,56,1,0,100,5614,1,67,5170,1,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,1,0,0
0,1,0,12,1,0,19,233,1,72,3535,0,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,1
0,0,0,1,1,0,75,75,1,87,3244,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0,0,4,1,1,89,346,1,74,5808,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0
1,0,0,1,1,1,85,85,1,66,4880,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
0,0,0,12,1,1,61,713,1,67,5670,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1
1,1,0,65,1,0,105,6786,1,91,4196,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0
0,1,0,9,0,1,29,248,1,83,2573,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
0,1,0,9,1,0,65,663,1,76,3983,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1
0,0,0,7,1,0,20,137,1,100,4479,0,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0
1,1,0,49,1,0,90,4547,1,96,5059,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
1,1,0,43,1,1,110,4687,1,65,2728,1,0,1,1,0,0,0,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0
0,1,0,65,1,1,105,6985,1,89,5720,0,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0
1,1,0,56,1,1,104,5794,1,91,6268,1,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0
0,1,0,10,1,1,85,855,1,75,3573,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
0,1,0,43,1,0,56,2499,1,65,2152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
0,0,0,1,1,1,89,89,1,99,4996,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0
1,1,0,20,1,1,94,1899,1,84,5604,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0
0,0,0,1,1,1,45,45,1,95,2295,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0,0,2,1,0,89,161,1,80,2065,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
0,0,0,3,1,1,69,222,1,87,2876,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1,1,1,74,74,1,94,3860,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1,0,0,8,1,0,19,164,1,83,5432,0,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,1,0
0,1,0,2,1,0,19,35,1,68,2362,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1
0,0,0,4,0,1,24,96,1,93,2038,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,2,1,0,69,145,1,80,2323,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,0,0,4,1,0,45,191,1,78,2864,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,1,1,1,75,75,1,78,4838,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0,0,52,0,1,49,2550,1,90,5597,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0
0,0,0,2,0,1,34,62,1,65,3146,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
0,1,0,1,1,0,80,80,1,88,2046,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
1,0,0,2,1,1,49,91,1,89,3475,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,0,0,3,1,1,75,270,1,69,4965,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,1,0,3,1,1,50,168,1,86,3273,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
0,0,0,25,1,1,79,2015,1,85,4535,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1,1,0,19,19,1,66,3556,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,1
0,1,0,4,1,1,85,381,1,74,5640,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
0,0,0,3,1,1,45,141,1,67,2450,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1,1,0,33,1,1,94,3105,1,96,4333,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0
1,0,0,30,1,0,91,2758,1,97,2482,0,0,1,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0
0,0,0,45,1,1,87,3941,1,73,5269,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0
0,0,0,10,1,0,98,1008,1,80,3658,1,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0
1,0,0,20,1,1,98,1842,1,92,5444,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0
0,0,0,15,1,1,85,1269,1,96,3579,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
0,0,0,22,1,0,89,1907,1,82,3161,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0
0,1,0,3,1,1,70,208,1,66,3038,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,0,0,15,1,1,93,1444,1,77,5264,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0
0,0,0,1,1,0,19,19,1,100,4248,0,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,1
0,1,0,5,1,1,88,454,1,79,4356,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
0,1,0,33,1,1,95,3036,1,76,4161,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,1,0
0,0,0,2,1,1,82,184,1,97,3051,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
0,0,0,2,1,0,45,89,1,81,3478,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,0,0,1,1,1,52,52,1,71,4138,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
1,0,0,46,1,1,110,4874,1,81,2403,0,0,1,1,0,0,1,0,1,0,1,0,0,0,1,0,1,1,0,0,1,0
0,0,0,62,1,1,96,6125,1,92,5016,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,1,0
0,0,0,10,1,1,98,1058,1,74,5184,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0
