Senior Citizen,Partner,Dependents,Tenure Months,Phone Service,Paperless Billing,Monthly Charges,Total Charges,Churn Value,Churn Score,CLTV,Multiple Lines_No phone service,Multiple Lines_Yes,Internet Service_Fiber optic,Internet Service_No,Online Security_No internet service,Online Security_Yes,Online Backup_No internet service,Online Backup_Yes,Device Protection_No internet service,Device Protection_Yes,Tech Support_No internet service,Tech Support_Yes,Streaming TV_No internet service,Streaming TV_Yes,Streaming Movies_No internet service,Streaming Movies_Yes,Contract_One year,Contract_Two year,Payment Method_Credit card (automatic),Payment Method_Electronic check,Payment Method_Mailed check,tenure_group,avg_charges,total services,engagement_score,charge_ratio
1,1,0,58,0,1,45.3,2651.2,1,100,5444,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,4,44.93559322033898,3,8,0.017080159867279995
0,1,1,2,1,1,104.4,242.8,1,83,4690,0,1,1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,1,0,1,80.93333333333334,4,6,0.42821985233798193
0,1,0,53,1,1,94.85,5000.2,1,80,4328,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,4,92.59629629629629,3,8,0.01896544829240982
1,0,1,15,1,1,74.45,1145.7,1,99,5717,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,71.60625,0,3,0.06492543821400541
1,0,1,7,1,0,76.45,503.6,1,81,4419,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,62.95,1,2,0.15150614347998415
0,0,0,1,0,0,29.95,29.95,1,95,4534,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,14.975,1,2,0.9676898222940226
0,0,1,8,1,0,84.5,662.65,1,86,2152,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,73.62777777777778,1,2,0.12732615083251714
0,0,1,13,1,1,79.25,1111.65,1,73,5142,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,2,79.40357142857144,2,5,0.07122635150316811
0,1,0,1,0,1,24.8,24.8,1,94,4851,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,12.4,0,2,0.9612403100775194
0,1,1,6,1,1,91.0,531.0,1,94,2283,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,1,75.85714285714286,3,5,0.17105263157894737
0,0,1,1,1,0,79.9,79.9,1,98,3394,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,39.95,1,2,0.9876390605686032
0,0,1,19,1,1,106.6,1934.45,1,71,3764,0,0,1,0,0,1,0,0,0,1,0,1,0,1,0,1,0,0,0,1,0,2,96.7225,5,8,0.05507763052520085
0,0,0,2,1,1,46.0,84.5,1,76,2667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,28.166666666666668,0,2,0.5380116959064327
0,0,1,4,1,1,70.15,268.35,1,67,2227,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,53.67,0,2,0.2604418043437906
0,1,0,4,1,0,50.05,179.35,1,82,3394,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,35.87,1,2,0.2775159412253951
0,1,0,1,1,0,55.2,55.2,1,81,3638,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,27.6,1,2,0.9822064056939501
0,0,1,1,1,1,84.6,84.6,1,66,2484,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,42.3,2,4,0.9883177570093458
0,0,0,2,1,1,54.4,114.1,1,81,2556,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,38.03333333333333,1,3,0.47263249348392705
1,0,1,11,1,1,95.0,1120.3,1,85,5980,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,1,93.35833333333333,3,5,0.08472308927138143
1,0,0,15,1,1,74.4,1074.3,1,86,4616,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2,67.14375,1,4,0.0691899934901888
0,0,0,1,1,1,48.55,48.55,1,77,5687,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,24.275,1,3,0.9798183652875883
0,1,0,2,1,0,70.4,147.15,1,75,5687,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,49.050000000000004,0,1,0.4751940600742491
1,1,0,1,0,0,40.2,40.2,1,65,5828,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,20.1,2,3,0.9757281553398058
0,1,0,2,1,1,44.6,80.55,1,99,4884,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,26.849999999999998,0,2,0.5469037400367873
1,0,0,3,0,1,41.15,132.2,1,96,2314,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,33.05,2,4,0.3089339339339339
1,0,0,13,1,1,106.9,1364.3,1,84,2494,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,2,97.45,4,7,0.07829781000512709
0,0,0,59,1,0,19.35,1099.6,1,83,5084,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,1,4,18.326666666666664,0,4,0.017581319280392516
1,0,0,16,1,1,94.45,1511.2,1,81,3810,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,2,88.89411764705882,3,6,0.06245866948816294
0,0,0,1,0,0,24.8,24.8,1,73,5087,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12.4,0,1,0.9612403100775194
0,0,0,1,1,0,70.6,70.6,1,69,3338,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,35.3,0,1,0.9860335195530726
0,1,0,5,1,1,85.4,401.1,1,80,3676,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,66.85000000000001,2,4,0.21238497886097985
0,1,0,52,1,1,105.05,5624.85,1,65,4839,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,4,106.12924528301888,4,9,0.018672733897988746
0,1,0,18,1,0,95.15,1779.95,1,68,4643,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,2,93.68157894736842,3,5,0.0534265420140936
0,1,0,1,1,0,70.0,70.0,1,97,4094,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,35.0,0,1,0.9859154929577465
1,0,0,8,1,1,74.5,606.55,1,80,4345,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,67.39444444444445,1,3,0.1226236523742902
0,0,0,10,1,1,44.85,435.4,1,83,4061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,39.58181818181818,0,2,0.10277268560953255
1,0,0,24,1,1,76.1,1712.7,1,98,2018,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,68.508,0,3,0.044406839003326135
0,0,0,1,1,1,73.6,73.6,1,80,2565,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,36.8,1,3,0.9865951742627346
1,0,0,4,1,1,95.45,396.1,1,85,3677,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,79.22,2,4,0.2403676655754218
1,1,0,32,1,1,74.9,2303.35,1,69,4105,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,69.79848484848485,0,4,0.032503742920997246
0,0,0,5,1,1,80.6,415.55,1,69,5715,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,69.25833333333334,1,3,0.19349417836994356
0,1,0,38,1,0,80.3,3058.65,1,81,2071,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,1,1,0,1,0,0,3,78.42692307692307,5,8,0.026244831925220202
1,1,0,24,1,1,93.15,2231.05,1,73,2212,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,2,89.242,3,6,0.04173293609014135
1,0,0,54,1,0,82.45,4350.1,1,83,4149,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,1,1,0,0,0,0,4,79.09272727272727,5,9,0.018949231228884648
1,0,0,2,1,1,70.35,139.05,1,73,2671,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,46.35,0,2,0.5023205997857907
0,0,0,7,1,1,73.85,511.25,1,67,2473,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,63.90625,0,2,0.1441678867740361
0,0,0,2,1,0,80.6,155.8,1,92,2683,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,51.93333333333334,1,2,0.5140306122448979
0,1,0,68,1,1,75.8,5293.95,1,81,4903,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,1,1,0,0,0,0,4,76.72391304347826,4,9,0.01431552705880131
0,0,0,43,1,1,104.6,4759.85,1,91,5250,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,1,0,1,0,3,108.1784090909091,4,8,0.021970866546940145
0,1,0,63,1,1,103.4,6603.0,1,98,4352,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,4,103.171875,4,9,0.01565717746820109
0,0,0,2,1,1,90.4,168.2,1,76,4157,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,56.06666666666666,2,4,0.5342789598108748
0,1,0,4,1,1,84.8,371.9,1,73,4939,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,74.38,2,4,0.22740681147760794
1,0,0,21,0,1,41.9,840.1,1,97,4778,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2,38.18636363636364,2,5,0.049815717512780876
0,0,0,10,1,1,80.25,846.0,1,85,3598,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,76.9090909090909,1,3,0.0947461629279811
1,1,0,27,0,0,30.75,805.1,1,91,2927,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,28.75357142857143,1,4,0.038146631931522144
0,0,0,5,1,0,96.5,492.55,1,98,5383,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,82.09166666666667,3,4,0.1955222368554351
0,0,0,2,1,1,85.65,181.5,1,73,3878,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,60.5,1,3,0.4693150684931507
0,1,0,25,1,1,104.95,2566.5,1,66,3642,0,1,1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,3,98.71153846153847,4,8,0.0408763388510224
0,0,0,1,1,0,50.65,50.65,1,76,2431,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,25.325,1,2,0.9806389157792836
0,0,0,1,1,1,90.85,90.85,1,81,3424,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,45.425,2,4,0.9891126837234622
1,1,0,11,1,0,19.95,214.75,1,80,5888,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,1,1,17.895833333333332,0,1,0.09246813441483198
1,1,0,55,1,1,85.45,4874.7,1,100,5502,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,4,87.04821428571428,2,7,0.017525688619070084
0,0,0,34,1,1,73.95,2524.45,1,94,5795,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,3,72.12714285714286,1,5,0.02928191015462591
0,1,0,69,1,1,99.45,7007.6,1,80,4020,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,4,100.10857142857144,3,8,0.014189709785121137
0,0,0,1,1,1,19.9,19.9,1,92,3351,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,1,1,9.95,0,2,0.9521531100478469
0,0,0,1,1,1,19.6,19.6,1,95,3448,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,1,1,9.8,0,2,0.9514563106796117
1,0,0,3,1,1,81.35,233.7,1,73,2818,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,58.425,1,3,0.3466126970600767
0,1,0,22,1,0,83.3,1845.9,1,88,3804,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,2,80.25652173913043,2,4,0.045102604364069515
1,0,0,1,1,1,75.3,75.3,1,67,4902,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,37.65,1,3,0.9868938401048493
0,1,0,61,1,1,19.4,1182.55,1,82,4221,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,1,4,19.073387096774194,0,5,0.016391364961345106
0,0,0,12,1,1,45.4,518.9,1,68,2887,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,39.91538461538461,0,2,0.08732448547797654
0,0,0,60,1,1,105.9,6396.45,1,84,4105,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,4,104.85983606557377,4,9,0.016553470523411672
0,0,0,1,1,0,69.55,69.55,1,73,2792,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,34.775,0,1,0.9858256555634302
0,1,0,28,1,1,81.05,2227.1,1,98,5201,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,3,76.79655172413793,1,5,0.03637628472689736
0,1,0,4,1,0,101.15,385.9,1,84,4417,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,77.17999999999999,3,4,0.26143706384078574
0,0,0,7,1,1,99.8,673.25,1,98,2031,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,1,84.15625,3,5,0.14801631442343344
0,1,0,13,1,0,55.95,734.35,1,91,4498,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2,52.45357142857143,1,3,0.076086217447474
0,0,0,1,1,1,55.0,55.0,1,71,4877,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,27.5,1,3,0.9821428571428571
0,1,0,1,1,1,74.7,74.7,1,80,5980,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,37.35,1,3,0.9867899603698811
0,0,0,24,1,1,80.25,1861.5,1,77,4418,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2,74.46,1,4,0.04308724832214765
0,0,0,5,1,1,96.1,453.4,1,66,4192,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,1,75.56666666666666,3,5,0.21148767605633803
0,0,0,15,1,0,69.0,994.8,1,73,5671,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,62.175,0,2,0.06929102229363326
0,1,0,48,0,1,45.3,2145.0,1,65,4926,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,3,43.775510204081634,3,7,0.021109040074557314
0,1,0,8,1,1,83.55,680.05,1,65,2879,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,75.5611111111111,2,4,0.1226782174583364
0,0,0,1,1,1,74.35,74.35,1,93,2814,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,37.175,0,2,0.986728599867286
0,1,0,2,1,1,74.4,139.4,1,77,4263,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,46.46666666666667,1,3,0.5299145299145299
0,0,0,22,0,1,43.75,903.6,1,66,3099,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,2,39.28695652173913,3,6,0.048363917753703294
1,0,0,5,0,0,28.45,131.05,1,89,4099,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,21.84166666666667,1,2,0.2154486936766376
0,0,0,12,1,1,99.7,1238.45,1,76,2538,0,1,1,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,95.26538461538462,4,6,0.0804389043527371
1,0,0,20,1,1,94.1,1782.4,1,87,2666,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,2,84.87619047619049,3,6,0.052764382639901304
0,1,0,2,1,1,94.2,167.5,1,72,3715,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,1,55.833333333333336,3,5,0.5590504451038576
0,1,0,6,1,1,80.5,502.85,1,98,5032,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,71.83571428571429,1,3,0.15976977274982632
1,1,0,5,1,1,74.35,334.8,1,82,5273,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,55.800000000000004,0,2,0.22141155449672423
0,0,0,40,1,0,104.8,4131.95,1,88,3492,0,1,1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,3,100.77926829268293,4,7,0.02535719038459212
1,1,0,27,1,1,75.2,1929.35,1,99,4517,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,68.90535714285714,1,5,0.038956665889605516
0,0,0,23,1,0,75.6,1758.6,1,81,2115,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,73.27499999999999,0,2,0.04296431007047056
0,1,0,34,1,1,100.05,3480.0,1,72,2568,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,3,99.42857142857143,3,7,0.02874174087905774
0,0,0,1,1,1,85.0,85.0,1,80,5679,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,42.5,1,3,0.9883720930232558
0,0,0,10,1,1,86.05,834.1,1,85,2966,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,75.82727272727273,1,3,0.1030415519099509
0,0,0,13,0,1,45.55,597.0,1,74,4856,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,2,42.642857142857146,3,6,0.0761705685618729
0,1,0,39,1,1,86.3,3266.0,1,98,3364,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,3,81.65,2,6,0.026415671870217323
0,0,0,32,1,1,80.35,2596.15,1,92,5974,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,78.67121212121212,1,5,0.030937758697033284
0,0,0,35,1,1,100.25,3527.6,1,72,2744,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,3,97.98888888888888,3,7,0.02841070112792609
0,1,0,56,1,0,100.3,5614.45,1,67,5170,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,1,0,0,4,98.49912280701754,3,7,0.01786143585999341
0,1,0,12,1,0,19.0,233.55,1,72,3535,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,1,1,17.965384615384615,0,1,0.08100618205073545
0,0,0,1,1,0,75.3,75.3,1,87,3244,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,37.65,1,2,0.9868938401048493
1,0,0,4,1,1,89.2,346.2,1,74,5808,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,69.24,2,4,0.2569124423963134
1,0,0,1,1,1,85.7,85.7,1,66,4880,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,42.85,1,3,0.9884659746251442
